Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,MoSold,SalePrice
11,40,RH,5634,Pave,Reg,Bnk,NoSewr,Corner,Edwards,Artery,Duplex,1Story,8,3,1957,1980,Flat,HdBoard,109.0,CBlock,1033.0,307,1866,Wall,Y,1681,1142,2539,0,3,2,2,2,11,1,1,430.0,319,165,94,2006,5,411540.09371466713
12,80,,6925,Grvl,IR1,Lvl,NoSewr,FR2,CollgCr,Artery,2fmCon,1.5Fin,2,6,2005,1975,Gable,Wd Sdng,7.0,BrkTil,913.0,101,204,Wall,N,1470,1287,2325,2,1,2,4,2,9,0,1,558.0,219,38,36,2006,2,366137.6207674612
13,40,C,7056,Grvl,IR1,Low,NoSewr,Inside,Edwards,RRAn,Twnhs,2Story,8,7,1980,2005,Gable,,68.0,BrkTil,1326.0,360,414,Grav,Y,1463,1262,869,2,2,0,1,1,8,0,1,711.0,186,152,68,2006,5,306537.91644118563
14,40,RH,11917,Pave,IR2,Lvl,NoSewr,Inside,NAmes,RRAn,1Fam,SLvl,4,1,2008,1983,Gable,HdBoard,189.0,CBlock,1345.0,846,1531,GasW,Y,2004,1374,2955,0,2,2,3,2,3,1,2,562.0,413,268,40,2006,7,427593.41494582756
15,90,RL,8144,Grvl,IR2,Low,AllPub,Corner,NAmes,RRAn,Duplex,SLvl,2,1,2007,1958,Gambrel,HdBoard,178.0,PConc,1479.0,623,1176,Grav,Y,2402,892,3048,2,1,2,5,1,4,0,0,438.0,31,74,45,2009,5,385583.73171608173
16,60,RM,15462,Pave,Reg,Lvl,AllPub,Corner,OldTown,Artery,2fmCon,1.5Fin,10,5,1961,2011,Gable,Wd Sdng,62.0,BrkTil,1301.0,692,1126,GasA,Y,575,254,3923,0,1,1,3,1,9,0,2,,202,256,76,2008,2,535788.922487712
17,50,RM,14631,Grvl,IR1,HLS,NoSewr,Inside,BrkSide,Artery,2fmCon,1.5Fin,7,6,1997,1962,Hip,Wd Sdng,67.0,CBlock,1416.0,615,1737,Grav,Y,828,684,2372,1,1,0,3,2,5,1,3,806.0,275,199,44,2007,11,454013.19561253383
18,90,RM,5552,Pave,IR1,Bnk,AllPub,CulDSac,CollgCr,Artery,2fmCon,1Story,6,9,1980,2018,Gambrel,VinylSd,205.0,CBlock,916.0,527,791,Grav,Y,1939,1332,1428,2,2,0,4,1,4,0,0,269.0,241,97,87,2008,5,306161.59808922897
19,90,C,13907,Pave,IR1,Low,AllPub,FR2,CollgCr,RRAn,1Fam,1Story,10,1,2012,1990,Flat,HdBoard,399.0,PConc,94.0,607,1088,Grav,Y,1726,56,2087,1,1,2,2,2,8,0,1,708.0,15,103,26,2008,12,431374.623080216
20,40,RH,10383,Grvl,IR2,Lvl,NoSewr,FR2,BrkSide,RRAn,1Fam,2Story,5,4,1988,1950,Hip,HdBoard,467.0,CBlock,958.0,292,1140,Grav,Y,1752,949,1705,0,2,2,4,2,10,2,0,430.0,408,163,64,2008,12,369353.21802478755
21,70,RH,8911,Grvl,IR1,Bnk,NoSewr,CulDSac,NAmes,Norm,1Fam,1.5Fin,1,10,1969,1996,Gambrel,VinylSd,407.0,PConc,1130.0,145,1688,Wall,Y,651,1426,3150,0,2,1,5,2,10,0,2,20.0,315,112,83,2006,10,422405.3963102625
22,60,RL,14905,Grvl,Reg,Lvl,NoSewr,CulDSac,NAmes,Feedr,Duplex,1.5Fin,2,8,1997,1953,Gable,HdBoard,5.0,BrkTil,1413.0,403,1179,GasW,N,2298,1090,3784,1,1,0,4,1,4,0,3,142.0,172,102,7,2006,6,491739.11423605273
23,30,RL,19171,Pave,Reg,Bnk,NoSewr,CulDSac,Edwards,Norm,1Fam,1.5Fin,8,10,2003,2012,Flat,VinylSd,118.0,CBlock,70.0,813,1699,GasA,Y,571,1069,1375,2,3,0,5,2,8,0,3,759.0,136,36,66,2009,5,398870.0632865159
24,90,RM,8389,Pave,IR2,Bnk,NoSewr,CulDSac,OldTown,RRAn,Duplex,SLvl,1,9,1978,2001,Gable,VinylSd,312.0,BrkTil,663.0,1,1105,GasA,N,724,605,3402,1,1,2,4,2,7,1,2,867.0,178,105,48,2008,2,396062.9462620369
25,50,RL,14299,Pave,IR3,Lvl,NoSewr,CulDSac,OldTown,Artery,2fmCon,2Story,3,3,1997,1959,Hip,HdBoard,30.0,CBlock,968.0,118,517,GasA,Y,972,368,2972,1,3,0,2,1,9,0,0,352.0,358,186,95,2010,6,327691.89822809346
26,70,C,18629,Grvl,IR2,Low,AllPub,CulDSac,OldTown,RRAn,2fmCon,1Story,2,2,2005,1977,Hip,MetalSd,5.0,CBlock,586.0,854,1857,Grav,N,2420,231,2820,2,1,2,1,2,6,1,2,464.0,60,20,88,2009,6,366645.24233581015
27,70,RH,17398,Pave,IR3,Low,AllPub,FR2,Edwards,Feedr,Twnhs,SLvl,5,4,1966,1955,Gambrel,Wd Sdng,482.0,BrkTil,1399.0,605,1090,GasA,N,2166,1425,1658,0,1,1,2,2,4,1,3,467.0,496,147,88,2006,12,363991.98050524504
28,30,RM,13442,Pave,IR1,HLS,NoSewr,CulDSac,OldTown,Norm,1Fam,SLvl,4,2,1958,1976,Hip,HdBoard,206.0,CBlock,726.0,190,1261,Wall,N,859,907,1544,1,2,2,4,2,5,0,1,512.0,423,128,13,2008,2,321097.6971814089
29,90,RL,7430,Grvl,IR2,Bnk,AllPub,Inside,BrkSide,Norm,2fmCon,SLvl,7,1,1983,1961,Flat,MetalSd,156.0,BrkTil,367.0,2,1607,GasW,N,1039,1046,3327,1,2,1,3,2,11,0,3,463.0,103,186,61,2006,4,463814.9368565886
30,50,C,15246,Pave,Reg,HLS,NoSewr,CulDSac,Edwards,Artery,1Fam,SLvl,5,3,1994,2011,Gambrel,VinylSd,66.0,BrkTil,50.0,941,1630,Grav,N,1310,573,2979,0,2,2,1,2,10,0,3,876.0,316,283,42,2007,7,450141.4185360544
31,60,C,5458,Pave,IR1,HLS,NoSewr,CulDSac,BrkSide,Norm,Duplex,2Story,8,7,1958,2001,Flat,MetalSd,458.0,PConc,1166.0,486,1839,Grav,N,1108,1290,3873,1,2,1,3,2,11,0,0,849.0,194,198,26,2006,1,473346.19795955246
32,20,RL,18395,Grvl,Reg,Lvl,NoSewr,FR2,Edwards,Norm,2fmCon,1.5Fin,4,1,1956,1997,Gable,HdBoard,,BrkTil,1442.0,622,978,Wall,Y,1569,840,914,0,2,1,2,1,7,0,1,393.0,255,234,95,2006,1,297119.05819352437
33,50,RH,5207,Pave,IR1,Lvl,NoSewr,FR2,OldTown,RRAn,1Fam,1Story,6,2,1965,2016,Flat,HdBoard,411.0,PConc,987.0,176,1009,GasA,Y,500,117,1280,2,2,0,1,2,7,0,3,785.0,463,107,26,2009,11,381205.872140701
34,30,RL,5899,Grvl,IR2,Lvl,AllPub,CulDSac,BrkSide,Norm,2fmCon,1Story,4,1,1968,1995,Flat,MetalSd,329.0,BrkTil,1190.0,256,1349,Grav,Y,1177,1078,1780,0,2,2,4,2,9,0,1,752.0,75,8,67,2007,12,331407.29023462
35,70,RM,16653,Grvl,IR3,Bnk,NoSewr,FR2,BrkSide,Norm,2fmCon,SLvl,2,8,1955,1964,Hip,HdBoard,369.0,CBlock,259.0,872,589,Grav,Y,1768,1176,1824,0,3,0,3,2,9,1,2,57.0,270,225,74,2010,11,358619.7891249073
36,60,RL,16577,Grvl,IR1,Lvl,AllPub,Corner,BrkSide,Norm,1Fam,SLvl,1,5,1960,1985,Gable,Wd Sdng,352.0,BrkTil,1215.0,533,66,Wall,Y,1742,1262,3178,1,3,0,4,2,3,2,0,125.0,180,208,47,2010,6,340824.2934760876
37,50,C,5021,Grvl,IR3,Lvl,NoSewr,FR2,Edwards,Artery,2fmCon,2Story,1,8,2010,1963,Hip,MetalSd,431.0,CBlock,1225.0,476,1199,Wall,Y,2137,1288,2400,0,2,2,5,1,7,1,1,840.0,131,244,66,2010,7,339928.4009612721
38,20,RL,13601,Grvl,IR1,Bnk,NoSewr,FR2,CollgCr,Artery,2fmCon,SLvl,8,3,1991,1952,Gable,VinylSd,335.0,PConc,1208.0,397,1856,GasA,N,790,267,1741,0,3,0,1,2,10,0,1,877.0,150,287,24,2008,12,387520.8552732791
39,20,RH,5894,Pave,Reg,Bnk,NoSewr,FR2,OldTown,RRAn,2fmCon,1Story,4,7,1962,2016,Gable,MetalSd,378.0,CBlock,157.0,495,683,GasW,Y,1981,112,1754,1,1,0,3,1,9,2,0,460.0,154,65,63,2010,5,285526.47668954515
40,40,FV,5514,Pave,Reg,Low,AllPub,FR2,BrkSide,Norm,2fmCon,1Story,5,8,1961,1968,Flat,MetalSd,393.0,BrkTil,98.0,219,1501,GasW,N,703,165,2460,0,3,0,2,2,4,2,2,51.0,358,152,23,2008,12,389022.4911959406
41,40,RL,12294,Grvl,IR1,Lvl,NoSewr,Inside,CollgCr,Artery,Duplex,1.5Fin,8,6,1969,2003,Hip,MetalSd,288.0,CBlock,240.0,980,1278,GasA,N,1725,667,1567,1,2,2,2,2,10,0,1,734.0,234,190,8,2006,10,384484.9727995042
42,80,RH,9904,Grvl,IR3,Lvl,NoSewr,Inside,OldTown,Artery,2fmCon,1.5Fin,7,7,1999,2018,Flat,MetalSd,483.0,PConc,201.0,172,62,GasW,N,1065,1031,3238,2,3,0,2,1,4,0,0,813.0,247,217,7,2010,8,423253.1677563243
43,30,RH,12867,Pave,IR2,Lvl,NoSewr,Inside,OldTown,RRAn,Twnhs,1Story,8,2,1985,1959,Flat,VinylSd,450.0,CBlock,,735,813,Wall,N,981,713,1633,0,1,0,2,1,3,1,3,874.0,164,153,94,2009,11,368697.74593528797
44,90,C,18161,Grvl,IR2,Low,AllPub,CulDSac,BrkSide,Feedr,2fmCon,1Story,8,8,2018,1982,Flat,VinylSd,452.0,CBlock,1119.0,389,402,Wall,N,2315,1240,2990,2,3,0,3,2,5,2,0,268.0,204,276,58,2007,4,413553.1498457324
45,50,RH,9109,Grvl,Reg,Lvl,AllPub,CulDSac,BrkSide,Norm,1Fam,2Story,6,5,1986,1962,Gable,VinylSd,139.0,BrkTil,745.0,501,1781,Wall,N,1010,430,3175,0,2,2,5,2,5,2,3,95.0,426,81,16,2007,3,435447.61337779893
46,50,RH,18258,Grvl,IR2,Low,AllPub,Corner,Edwards,Artery,Twnhs,2Story,10,7,1961,2000,Hip,MetalSd,440.0,BrkTil,489.0,576,191,GasW,Y,1423,1315,2581,0,1,1,2,2,8,0,1,272.0,164,220,42,2006,7,450074.07798061485
47,90,RH,12179,Pave,Reg,HLS,NoSewr,Inside,CollgCr,RRAn,Duplex,1Story,2,1,1989,1981,Hip,Wd Sdng,299.0,CBlock,578.0,788,1352,GasW,N,777,892,1427,2,1,1,2,2,5,0,1,322.0,487,279,94,2007,4,307595.7448247036
48,80,RH,15326,Pave,IR2,Low,AllPub,CulDSac,CollgCr,RRAn,Twnhs,SLvl,6,5,2003,1973,Flat,Wd Sdng,12.0,PConc,1241.0,760,70,Grav,N,1504,1073,1176,2,3,1,2,2,9,2,1,572.0,212,110,67,2007,1,302870.7944557258
49,70,,16787,Grvl,IR1,HLS,NoSewr,FR2,BrkSide,RRAn,Twnhs,1.5Fin,1,1,1951,1984,Gable,VinylSd,151.0,CBlock,526.0,259,877,Grav,Y,515,106,889,1,1,1,5,2,10,2,2,832.0,412,91,3,2006,11,246790.63549333485
50,70,RM,16148,Grvl,Reg,Lvl,AllPub,FR2,OldTown,Artery,Twnhs,1Story,1,8,1999,2019,Hip,Wd Sdng,427.0,PConc,272.0,130,740,Grav,Y,2048,1032,3655,1,1,0,1,1,5,0,2,692.0,253,11,7,2006,8,408152.8664861233
51,80,C,6560,Pave,Reg,HLS,AllPub,Inside,BrkSide,Norm,1Fam,SLvl,3,4,1990,1989,Gambrel,Wd Sdng,,PConc,1242.0,112,945,GasW,Y,855,744,1820,2,1,2,2,2,11,0,3,132.0,156,138,41,2006,5,365625.8296722155
52,70,RL,18612,Pave,IR1,Low,NoSewr,Corner,OldTown,Feedr,1Fam,1Story,3,4,1994,2003,Hip,Wd Sdng,351.0,PConc,785.0,797,1086,Grav,Y,855,699,1865,0,2,0,2,2,3,0,0,88.0,176,154,48,2009,8,309212.6547601425
53,40,RH,6266,Grvl,Reg,Bnk,AllPub,Corner,OldTown,Norm,1Fam,1.5Fin,5,2,1958,1993,Flat,Wd Sdng,399.0,CBlock,1355.0,798,1320,Wall,Y,1329,1479,2770,1,1,2,2,2,5,1,3,684.0,74,22,5,2006,8,436304.530861096
54,50,RL,15361,Grvl,IR2,HLS,NoSewr,FR2,BrkSide,RRAn,Duplex,1.5Fin,1,5,2011,2011,Gambrel,Wd Sdng,479.0,PConc,452.0,929,244,GasW,Y,2462,322,1858,0,3,0,1,1,5,1,0,823.0,434,219,72,2006,12,310311.44797720836
55,80,RL,8638,Pave,IR2,HLS,NoSewr,Corner,NAmes,RRAn,1Fam,2Story,10,1,1996,2017,Gable,,108.0,CBlock,1175.0,722,518,GasA,Y,1098,308,3859,1,3,1,2,1,9,0,1,4.0,177,236,41,2006,5,518196.0755367677
56,50,C,13941,Pave,Reg,Lvl,AllPub,Inside,CollgCr,Feedr,1Fam,2Story,6,9,1954,1982,Gambrel,VinylSd,484.0,PConc,346.0,19,392,GasW,N,1601,849,2317,1,1,1,1,1,7,1,0,356.0,283,252,71,2010,8,342983.32067194534
57,90,RH,8427,Pave,IR2,Low,NoSewr,FR2,OldTown,Norm,Twnhs,2Story,7,5,1950,2005,Gambrel,MetalSd,375.0,PConc,815.0,214,771,Grav,Y,1427,621,3400,1,3,2,1,2,6,2,2,342.0,329,182,31,2010,7,459483.6033608373
58,20,RH,9780,Grvl,IR3,HLS,NoSewr,CulDSac,OldTown,RRAn,1Fam,2Story,10,6,1993,1985,Flat,Wd Sdng,355.0,CBlock,413.0,309,1624,GasW,N,1590,994,923,2,1,0,4,1,4,2,0,203.0,132,197,14,2009,3,366958.65434604755
59,40,FV,6927,Pave,Reg,HLS,AllPub,CulDSac,NAmes,RRAn,2fmCon,1.5Fin,3,2,1971,2003,Hip,HdBoard,148.0,BrkTil,,250,1200,Grav,Y,1358,144,2904,0,3,1,4,2,9,0,0,673.0,124,169,81,2009,4,358862.709847608
60,60,RL,16996,Grvl,IR1,HLS,AllPub,Corner,Edwards,Norm,1Fam,SLvl,4,10,1987,1968,Gable,MetalSd,366.0,BrkTil,378.0,487,1227,Grav,Y,2246,739,3653,2,1,2,2,2,5,2,1,572.0,311,122,86,2007,11,420078.9738538133
61,40,,16894,Pave,IR3,HLS,NoSewr,FR2,NAmes,RRAn,Duplex,SLvl,10,10,1968,1992,Gambrel,HdBoard,203.0,CBlock,997.0,381,1669,GasA,N,713,820,2279,1,1,0,3,2,9,2,1,470.0,319,33,68,2010,12,415983.44646399445
62,80,RM,7356,Pave,Reg,Bnk,AllPub,FR2,NAmes,Norm,Duplex,SLvl,10,1,1980,1961,Flat,Wd Sdng,306.0,CBlock,894.0,408,1617,GasA,Y,2220,411,3082,2,1,2,4,2,9,2,2,463.0,126,2,26,2009,7,471831.7815108712
63,60,FV,9790,Pave,IR1,Low,NoSewr,CulDSac,OldTown,RRAn,2fmCon,1Story,10,4,2016,1960,Hip,Wd Sdng,,BrkTil,427.0,270,1556,Wall,Y,948,113,3455,2,2,0,4,2,4,2,0,496.0,376,5,96,2009,4,476779.4622434452
64,20,RM,15527,Pave,IR2,Lvl,NoSewr,FR2,CollgCr,Norm,Duplex,2Story,10,7,1991,2019,Gambrel,Wd Sdng,59.0,BrkTil,1107.0,933,910,Grav,Y,1464,574,3239,2,3,0,3,2,9,2,0,701.0,344,101,65,2007,6,449419.55442562595
65,80,RM,5306,Grvl,IR1,Lvl,AllPub,FR2,NAmes,Feedr,Duplex,2Story,10,6,1975,1961,Flat,Wd Sdng,434.0,BrkTil,191.0,406,1151,GasW,Y,1956,398,2315,0,1,0,5,2,8,1,0,836.0,224,191,58,2006,12,372853.82249659847
66,30,RM,12979,Grvl,IR3,Bnk,AllPub,FR2,Edwards,RRAn,Twnhs,1.5Fin,3,10,1962,1990,Flat,MetalSd,20.0,CBlock,40.0,691,1218,GasA,Y,2068,1298,3817,2,2,2,2,1,6,1,1,62.0,16,12,27,2008,2,455756.2935319748
67,50,C,8665,Pave,IR2,Low,AllPub,Corner,BrkSide,Feedr,2fmCon,1.5Fin,1,1,2007,1974,Flat,MetalSd,362.0,PConc,1332.0,193,1217,GasA,Y,1638,123,2654,2,2,2,5,1,7,0,2,555.0,496,35,23,2007,12,383528.41889556055
68,20,C,15181,Grvl,Reg,HLS,AllPub,FR2,NAmes,RRAn,Twnhs,1Story,8,1,1967,1952,Gable,HdBoard,381.0,CBlock,1401.0,440,183,Grav,Y,1286,85,2166,2,1,0,5,1,10,2,0,238.0,480,69,50,2008,2,387981.6368356983
69,50,RM,12057,Pave,IR2,Bnk,NoSewr,Inside,NAmes,RRAn,Twnhs,1Story,10,8,2016,1952,Hip,VinylSd,244.0,BrkTil,135.0,312,246,GasW,N,1943,46,851,2,1,1,1,2,7,1,0,539.0,472,288,20,2007,3,342266.549208891
70,70,FV,5661,Pave,Reg,Low,NoSewr,Corner,Edwards,Artery,1Fam,SLvl,10,4,1952,1977,Gambrel,Wd Sdng,389.0,PConc,105.0,78,1896,GasA,Y,998,943,2373,2,1,0,1,1,5,1,0,197.0,352,104,30,2007,10,407395.88200263126
71,30,RL,9644,Pave,Reg,HLS,AllPub,FR2,CollgCr,Norm,2fmCon,1.5Fin,2,5,2004,1972,Hip,HdBoard,72.0,CBlock,518.0,179,1895,GasA,N,1209,1224,2301,2,1,2,2,2,4,1,0,780.0,310,203,74,2006,7,319450.66706503177
72,30,FV,13503,Pave,IR1,Bnk,AllPub,FR2,NAmes,Feedr,1Fam,2Story,1,7,2007,1997,Hip,HdBoard,448.0,BrkTil,813.0,674,323,GasW,N,879,1299,3336,2,1,0,3,1,8,2,2,682.0,245,54,49,2009,3,369948.33269404183
73,20,RH,7920,Grvl,IR1,Low,NoSewr,Inside,NAmes,Feedr,1Fam,SLvl,8,8,2012,2016,Gambrel,HdBoard,75.0,CBlock,125.0,713,159,GasA,N,1666,1153,2852,1,3,2,1,1,8,1,2,29.0,136,106,91,2010,12,486348.77938455925
74,30,C,14274,Pave,IR1,Lvl,NoSewr,Corner,CollgCr,Feedr,Twnhs,2Story,7,10,2001,1991,Hip,Wd Sdng,185.0,PConc,1380.0,13,705,GasW,N,1239,1471,1431,2,1,0,4,2,9,0,2,665.0,474,140,39,2007,3,372067.8721429913
75,60,RL,16163,Pave,IR3,Lvl,NoSewr,CulDSac,Edwards,Norm,Duplex,SLvl,7,7,1973,1989,Gable,Wd Sdng,77.0,BrkTil,399.0,858,621,Grav,N,1131,803,2661,2,1,0,2,1,10,0,1,208.0,216,224,67,2006,4,383127.84485279943
76,30,RL,19025,Grvl,IR3,Low,NoSewr,CulDSac,NAmes,Artery,2fmCon,2Story,4,2,1958,1955,Gambrel,HdBoard,389.0,CBlock,78.0,245,924,GasA,N,2388,388,2032,0,3,1,5,2,6,2,0,62.0,195,35,15,2008,10,316876.929661594
77,50,RH,13946,Pave,IR1,Lvl,AllPub,Corner,CollgCr,Feedr,Duplex,1Story,9,4,1986,1969,Gambrel,Wd Sdng,64.0,PConc,388.0,13,65,Grav,N,1547,575,3064,1,2,1,2,1,10,0,0,840.0,200,132,75,2009,6,447889.6101804741
78,50,RH,17322,Pave,IR3,Low,NoSewr,FR2,NAmes,Norm,Twnhs,SLvl,6,10,2002,1960,Flat,HdBoard,341.0,PConc,73.0,98,929,GasW,Y,1038,1286,2847,2,3,2,1,1,3,1,0,56.0,365,24,85,2007,1,408240.63332682574
79,80,RM,17732,Pave,IR2,HLS,NoSewr,FR2,BrkSide,RRAn,Twnhs,2Story,2,1,1973,1976,Hip,MetalSd,289.0,CBlock,1028.0,32,253,Grav,Y,1444,631,1335,0,2,0,3,1,8,2,0,831.0,206,36,98,2008,6,269099.8587507163
80,50,C,11236,Grvl,IR2,Low,AllPub,CulDSac,OldTown,Feedr,Twnhs,2Story,1,10,1970,1970,Gambrel,Wd Sdng,55.0,PConc,1486.0,435,282,Grav,Y,1598,1301,3585,2,2,2,5,2,8,0,3,719.0,15,18,62,2007,8,409692.63814127375
81,80,C,11078,Pave,IR3,HLS,NoSewr,CulDSac,BrkSide,Feedr,Twnhs,1.5Fin,1,9,1989,1962,Gambrel,MetalSd,330.0,BrkTil,81.0,256,1083,Grav,N,1252,713,1529,2,3,0,3,2,5,2,2,432.0,399,34,55,2010,12,303905.5768345141
82,50,FV,18518,Grvl,IR3,Bnk,NoSewr,CulDSac,NAmes,Artery,Twnhs,SLvl,9,3,2011,1984,Gable,VinylSd,258.0,PConc,775.0,33,117,Wall,Y,1034,1069,3897,2,1,0,2,1,11,1,3,307.0,12,5,79,2010,8,492361.66947980016
83,60,RM,5352,Pave,IR2,Low,AllPub,Inside,Edwards,Feedr,Twnhs,2Story,4,3,2019,1996,Flat,Wd Sdng,425.0,CBlock,,18,422,GasW,N,1172,1191,2075,2,2,0,3,1,7,0,3,574.0,77,198,23,2009,6,381136.79818843043
84,90,RM,14094,Pave,Reg,Bnk,AllPub,CulDSac,OldTown,Feedr,Duplex,1.5Fin,5,10,2018,1977,Gambrel,VinylSd,,BrkTil,1428.0,663,555,GasW,N,1564,1468,2850,2,1,1,3,2,3,1,1,759.0,213,33,98,2008,6,399999.5222979484
85,80,RM,18643,Grvl,IR2,Lvl,AllPub,Inside,BrkSide,RRAn,1Fam,2Story,3,9,1963,1970,Gable,HdBoard,5.0,PConc,277.0,259,1745,GasW,Y,2273,621,3873,0,3,2,2,1,9,0,1,465.0,340,55,27,2010,3,465482.93929585966
86,40,RM,17080,Pave,IR2,HLS,NoSewr,Corner,CollgCr,Norm,Duplex,SLvl,4,10,1991,1967,Gambrel,Wd Sdng,5.0,PConc,839.0,675,35,GasW,N,2274,45,1825,2,2,0,5,1,5,2,0,,328,255,92,2006,2,321336.3009773382
87,70,C,12005,Pave,IR3,Low,NoSewr,FR2,Edwards,Norm,2fmCon,1Story,8,3,1999,1980,Gambrel,Wd Sdng,190.0,BrkTil,223.0,588,530,GasW,N,1067,723,2997,0,1,0,3,2,6,0,3,604.0,446,210,84,2009,7,479806.9650246185
88,20,C,19036,Grvl,IR2,Bnk,AllPub,CulDSac,BrkSide,Artery,Duplex,SLvl,4,8,2010,2009,Gambrel,Wd Sdng,147.0,BrkTil,1091.0,825,90,GasA,Y,1936,539,2851,2,2,2,3,1,8,0,3,106.0,118,96,88,2007,8,460515.75120968075
89,50,RM,5158,Grvl,IR3,HLS,AllPub,FR2,CollgCr,RRAn,Twnhs,SLvl,9,2,1953,1986,Gable,VinylSd,404.0,PConc,1343.0,415,1324,GasA,N,914,86,2320,0,2,2,2,1,10,0,2,876.0,424,281,30,2008,10,409954.2317319459
90,30,FV,15169,Grvl,IR3,HLS,NoSewr,FR2,NAmes,Norm,Duplex,2Story,9,3,1966,1970,Hip,VinylSd,257.0,BrkTil,605.0,136,1747,GasA,Y,948,802,2694,1,3,0,4,2,6,2,3,599.0,180,240,14,2008,6,453806.1873557846
91,90,RL,5956,Grvl,IR1,Lvl,AllPub,CulDSac,CollgCr,RRAn,1Fam,2Story,6,2,2006,1963,Gambrel,HdBoard,217.0,CBlock,18.0,358,1940,Grav,N,1109,1408,1267,2,1,1,3,2,11,0,1,300.0,323,169,41,2006,5,328161.91771121905
92,50,RL,7071,Grvl,IR2,Lvl,AllPub,CulDSac,BrkSide,Norm,2fmCon,SLvl,2,1,1997,2009,Gambrel,MetalSd,478.0,PConc,639.0,719,1942,Grav,N,1157,264,2917,1,1,1,1,2,10,1,3,619.0,329,293,98,2010,4,377058.39936339087
